"Captions","Sentiment","Timestamp","User names","Language","Hashtags","Resharess","Likes","Country","Year","Month","Day","Hour","Fatigue","Concentration","Sleep disturbance","Sucidal Ideation","Low energy","Hopelessness","Depression state"
"Organizing a virtual talent show during challenging times, bringing smiles to classmates' faces! "," Happy ","11/15/2020"," VirtualTalentShowSuccessHighSchool ","1"," #VirtualEntertainment #HighSchoolPositivity ","24","47"," USA","2020","11","15","15","1","1","1","1","1","1","No Depression"
" A fiery determination burning within, fueled by the vision of reaching unparalleled heights. "," Determination   ","9/10/2021"," VisionarySpirit   ","1"," #Determination #UnparalleledHeights      ","20","40"," UK            ","2021","9","10","14","2","2","1","1","1","1","Minimal Depression"
"Emotional exhaustion, the weight of the world crushing weary shoulders. "," Exhaustion ","9/5/2021"," WearySoulCrushed ","1"," #Exhaustion #CrushedSpirit             ","35","70"," Canada     ","2021","9","5","13","4","3","3","2","4","4","Moderate Depression"
"Exploring a new hiking trail with friends over the weekend. Nature, laughter, and good vibes! "," Happy ","10/19/2023"," WeekendHikeHighSchool ","1"," #NatureAdventures #HighSchoolFriends ","21","42"," UK","2023","10","19","18","1","1","1","1","1","1","No Depression"
"Desperation whispers, the silent plea for a glimmer of hope in the abyss. "," Desperation ","4/30/2019"," WhisperedDespair ","1"," #Desperation #GlimmerOfHope            ","22","45"," France    ","2019","4","30","14","2","1","2","1","1","1","Minimal Depression"
" Apprehensive whispers in the wind, a forecast of uncertainty, the mind's weather vane spinning wildly in the storm of doubt. "," Apprehensive ","6/10/2021"," WindWhisperer ","1"," #Apprehensive #StormOfDoubt ","14","28"," Canada ","2021","6","10","10","1","1","1","1","1","1","No Depression"
"Sipping on a favorite vintage wine, each sip telling a story of the years gone by. Cheers to a life well-lived. #WineLover #VintageCheers "," Contentment ","6/23/2023"," WineConnoisseur ","1"," #LifeWellLived #SeniorWine ","28","55"," UK","2023","6","23","18","1","2","1","1","2","1","Minimal Depression"
" Winter blues got me feeling low.                   "," Negative  ","2/3/2023"," WinterBlues  ","1"," #WinterBlues #Mood                      ","8","15"," USA       ","2023","1","20","15","3","3","3","2","4","3","Minimal Depression"
"Isolation deepens, an emotional winter where warmth is but a distant memory. "," Isolation ","4/2/2020"," WinterOfEmotions ","1"," #Isolation #EmotionalWinter            ","35","70"," Japan       ","2020","4","2","14","4","4","4","3","4","4","Moderate Depression"
"Savoring the warmth of a cup of cocoa on a chilly winter evening.   "," Coziness     ","1/12/2020"," WinterWarmth    ","1"," #Coziness #WarmWinterEvening           ","30","60"," Switzerland     ","2020","1","12","18","1","1","1","1","1","1","Minimal Depression"
"Savoring the warmth of a cup of cocoa on a chilly winter evening.   "," Coziness     ","1/12/2020"," WinterWarmth    ","1"," #Coziness #WarmWinterEvening           ","30","60"," Switzerland     ","2020","1","12","18","1","1","1","1","2","1","No Depression"
"Started a blog sharing the wisdom gained through the years, proving that every day is a chance to learn and grow. #SeniorWisdom #Blog "," Gratitude ","7/19/2023"," WisdomBloggerSenior ","1"," #LifeLessons #SeniorBlog ","22","45"," UK","2023","7","19","19","1","1","1","1","2","1","Minimal Depression"
"Like a withered rose in the garden of love, petals fall, a silent surrender to time. "," Loss ","2/10/2023"," WitheredRose ","1"," #Loss #SilentSurrender ","28","55"," France ","2023","2","10","14","1","2","3","2","1","2","Moderate Depression"
" Feeling inspired after attending a workshop.       "," Positive  ","2/17/2023"," WorkshopAttendee","1"," #Inspiration #Workshop                  ","25","50","USA","2023","1","26","9","1","1","1","1","1","1","No Depression"
" Anxiety grips my heart, worry clouds my thoughts.  "," Anxiety         ","4/15/2019"," WorriedMind       ","1"," #Anxiety #Worry                               ","12","25"," UK           ","2019","4","15","9","3","3","4","2","3","2","Moderate Depression"
" Flipping through the pages of an old yearbook, nostalgia painting smiles and tears on my face. "," Nostalgia       ","6/18/2017"," YearbookExplorer  ","1"," #Nostalgia #YearbookMemories            ","12","25"," India         ","2017","6","18","14","2","2","2","1","2","2","Minimal Depression"
" Embracing the ebb and flow of life, finding acceptance in the dance of existence. "," Acceptance      ","1/10/2023"," ZenLifestyle      ","1"," #Acceptance #LifeJourney                   ","15","30"," UK           ","2023","1","10","16","2","2","2","1","2","2","Minimal Depression"
"Enveloped in serenity while practicing mindfulness by the lake.    "," Mindfulness   ","10/20/2017"," ZenSeeker       ","1"," #Mindfulness #LakeTranquility            ","35","70"," Canada           ","2017","10","20","8","1","1","1","1","1","1","Minimal Depression"
"शौक, ख्वाइशे और लोग, जीतने कम हो उतना अच्छा","Positive","8/20/2024 10:00","hindicaption","2","#jazbaati_diary #alfaaz_dil_ke","12","150","India","2024","8","20","10","1","1","1","1","1","1","No Depression"
"कुछ रिश्ते चाय के भी होने चाहिए","Positive","08/20/2023","nidhi_kh_","2","#chaipartners","5","80","India","2023","8","20","11","1","1","1","1","1","1","No Depression"
"अधूरी शाम का अधूरा किस्सा हूँ में, जो पढ़ा ना गया किताब का वो हिस्सा हूँ में!","Neutral","8/20/2022 12:00","vinay_pandey_20","2","#plixxo #yolo #hindicaption","8","90","India","2022","8","20","12","1","1","1","1","1","1","No Depression"
"नजर से इशारे रुख़ पे नकाब होता है। थोड़ा थोड़ा तो हर कोई खराब होता है।।","Neutral","8/20/2021 13:00","vivekspeaking","2","#hindicaption #urducaption","15","120","India","2021","8","20","13","1","1","1","1","1","1","No Depression"
"तुम्हे मुस्कुराता देख, हम मुस्कुराने लग गए !...","Positive","8/20/2020 14:00","janvi_410","2","#traditional #indiandresses","20","200","India","2020","8","20","14","1","1","1","1","1","1","No Depression"
"फासलों से हौसला ये टूटता नहीं","Positive","8/19/2019 15:00","pria.sachan","2","#goodvibes #hindicaption","10","110","India","2019","8","20","15","1","1","1","1","1","1","No Depression"
"गले लगाकर पीठ थपथपाना दुनिया बदलने से कम बड़ा काम नहीं है.","Positive","7/15/2020 14:32","authordivyaprakash12","2","#writting #hindi","10","200","India","2024","8","19","14","1","1","1","1","1","1","No Depression"
"तुम हमेशा मेरे लिए ख़ास रहोगे, फिर चाहे हमारी बात हो या ना हो !","Neutral","8/19/2024 16:45","status_lovers_official","2","#statusloversofficial #duniya #duniyadari","5","150","India","2024","8","19","16","1","2","1","1","1","2","Minimal Depression"
"ज़िम्मेदारियों के बोझ तले दबा दी जाती है अनंत ख्वाहिशें, स्त्री हो या पुरुष किसी का भी जीवन आसान नहीं है....","Negative","8/19/2023 18:10","wings_of_eyeliner","2","#writer #writersofinstagram","8","220","India","2024","8","19","18","3","3","2","2","3","3","Moderate"
"कुछ दर्द बॉटे जाते है, कुछ... पाले जाते है।","Negative","9/12/2017 20:15","the_bright_tales","2","#emotional #sad","4","180","India","2024","8","19","20","4","3","3","3","4","3","Severel Depression"
"प्रेम वो नहीं है जो हमें पढ़ाया गया है।","Neutral","5/19/2024 22:30","ruhani.qalam","2","#wuhaniqalam","3","100","India","2024","8","19","22","1","2","1","1","1","2","Minimal Depression"
"जी भरकर जीने का दिल करता है","Positive","2/2/2024","tagledfeelingz","2","#tangledfeelingz #shayari","15","300","India","2024","8","20","9","1","1","1","1","1","1","No Depression"
"जो मुक़ाम कम लोगों के नसीब होगा उसमें मेरा नाम ज़रूर शामिल होगा","Positive","1/20/2024 11:45","azaadkavi","2","#hindipoetry #thindiquotes #poetry","12","250","India","2024","8","20","11","1","1","1","1","1","1","No Depression"
"""थे "" वाले कभी अपने थे ही नहीं.......","Negative","8/20/2024 13:10","success_life_tips_55","2","#motivationalquotes #thindimotivation #whindishayari","6","190","India","2024","8","20","13","3","4","3","3","4","4","Severel Depression"
"प्रत्येक संकट नई संभावनाओं को जन्म देता है....","Positive","11/21/2023 15:00","kalam_ae_ishk","2","#hindishayri #hindi","10","210","India","2024","8","20","15","1","1","1","1","1","1","No Depression"
"असफलता और आशा","Neutral","5/22/2023 17:20","lokpanktiyan","2","#panktiyaan #sahitya","5","140","India","2024","8","20","17","2","2","2","2","2","2","Minimal Depression"
"फासलों से हौसला ये टूटता नहीं","Positive","8/20/2019 15:00","pria.sachan","2","#goodvibes #hindicaption","10","110","India","2019","8","20","15","1","1","1","1","1","1","No Depression"
"नज़रें सब बता देती हैं, हसरतें भी, नफ़रतें भी..","Neutral","4/15/2021 16:00","kiranyogi03","2","#hindicaption","6","75","India","2024","8","20","16","1","1","1","1","1","1","No Depression"
"बस इतनी देर हो जाए, कि किसी को मेरे इंतज़ार की आदत न रहे।","Neutral","8/12/2023 17:00","nidhi_kh_","2","#goa #cafes #doorthindicaption #blogtraveltraveltales #gypsysoul","7","65","India","2023","8","20","17","1","1","1","1","1","1","No Depression"
"आधे से कुछ ज्यादा, पूरे से कुछ कम, कुछ जिंदगी, कुछ खुशी, कुछ इश्क और कुछ हम","Neutral","8/20/2022 18:00","vinaypandey20","2","#hindicaption #captionideas #travelravel #offbeatindia","9","85","India","2022","8","20","18","1","1","1","1","1","1","No Depression"
"हमदर्दियाँ चुभतीं हैं अब यूँ ख़ामख़ा मिज़ाज ना पूछा करो","Negative","11/10/2023 19:00","lekhakbabu","2","#hindi #quotes #hindiquotes #shayri","4","50","India","2021","8","20","19","2","3","2","1","1","2","Minimal Depression"
"हम लबों से कह ना पाए उनसे हाल-ए-दिल कभी","Negative","10/16/2021 20:00","vanshikaa","2","#banaras #nanikarnikaghat #sunset","3","40","India","2020","8","20","20","1","1","2","1","1","2","Minimal Depression"
"बेशक हंसना अच्छी बात है","Positive","9/1/2023 21:00","writer78","2","#hindi #happy","18","180","India","2019","8","20","21","1","1","1","1","1","1","No Depression"
"सपनों का पीछा करो, वो खुद चल कर आएंगे।","Positive","2022/04/05 06:08:13","gamer_dude_77","2","#love","51","410","India","2022","4","5","6","4","3","4","3","4","5","Severel Depression"
"अपने आपको समय दो।","Positive","2024/02/09 19:33:58","foodie_bae","2","#motivation","41","927","India","2024","2","9","19","1","5","2","2","2","2","Minimal Depression"
"अपने सपनों को जियो।","Neutral","2023/06/17 18:50:14","sports_fanatic_10","2","#success","87","596","India","2023","6","17","18","1","5","1","2","2","1","No Depression"
"हर दिन एक नई उम्मीद लाता है।","Negative","2023/05/09 17:14:55","fitness_freak12","2","#happiness","55","453","India","2023","5","9","17","5","2","3","5","4","1","Minimal Depression"
"हर समस्या का हल ढूंढो।","Negative","2023/05/01 10:41:48","selfcare_guru","2","#mindset","89","902","India","2023","5","1","10","5","1","1","5","4","3","Minimal Depression"
"विफलता सफलता की पहली सीढ़ी है।","Negative","2023/01/12 09:48:45","dog_friendly_life","2","#positivity","17","208","India","2023","1","12","9","1","4","5","2","4","4","Minimal Depression"
"खुशी एक यात्रा है, मंजिल नहीं।","Positive","2022/08/10 19:44:38","yogi_life_love","2","#inspiration","72","286","India","2022","8","10","19","3","2","5","5","1","4","Minimal Depression"
"हर सुबह अपने लक्ष्य को प्राप्त करने का एक और मौका है।","Positive","2023/10/13 04:40:57","smile_always_19","2","#mindset","16","282","India","2023","10","13","4","2","2","4","3","2","2","Minimal Depression"
"सकारात्मक सोच से जीवन में बदलाव आएगा।","Neutral","2022/03/07 05:12:22","artistic_heart","2","#motivation","51","199","India","2022","3","7","5","5","4","1","2","4","2","Minimal Depression"
"जीवन को बेहतर बनाने के लिए बदलाव ज़रूरी है।","Neutral","2022/08/17 13:35:55","creative_mind89","2","#dreams","9","921","India","2022","8","17","13","1","3","3","2","2","4","Minimal Depression"
"हर सुबह अपने लक्ष्य को प्राप्त करने का एक और मौका है।","Positive","2022/12/28 05:18:32","healthy_living2023","2","#mindset","29","551","India","2022","12","28","5","1","2","1","1","5","1","No Depression"
"जीवन को बेहतर बनाने के लिए बदलाव ज़रूरी है।","Neutral","2023/05/08 21:44:12","book_lover_life","2","#motivation","76","38","India","2023","5","8","21","2","1","1","5","2","1","No Depression"
"खुश रहना सीखो, जिंदगी का हर पल अमूल्य है।","Negative","2024/04/25 00:24:07","movie_buff23","2","#goals","5","746","India","2024","4","25","0","3","3","5","3","3","3","Minimal Depression"
"कड़ी मेहनत का फल हमेशा मीठा होता है।","Neutral","2022/01/17 08:47:38","plant_enthusiast","2","#life","5","466","India","2022","1","17","8","1","3","2","4","1","3","Minimal Depression"
"हर दिन नई शुरुआत करो।","Positive","2023/05/11 07:17:37","adventure_seeker_99","2","#motivation","36","624","India","2023","5","11","7","1","5","1","5","2","1","Minimal Depression"
"हर दिन एक नई शुरुआत है।","Positive","2023/01/16 08:35:52","wellness_warrior","2","#success","24","435","India","2023","1","16","8","3","5","1","5","5","3","Severel Depression"
"खुशियाँ बांटने से बढ़ती हैं।","Positive","2023/07/04 03:23:02","music_addict_88","2","#success","46","589","India","2023","7","4","3","4","3","5","1","4","5","Severel Depression"
"हर सुबह एक नया अवसर है।","Neutral","2024/12/20 00:25:00","happy_soul_2023","2","#motivation","50","186","India","2024","12","20","0","3","2","2","2","2","3","Minimal Depression"
"अपनी गलतियों से सीखें।","Positive","2024/03/28 12:27:59","tech_savvy2024","2","#dreams","20","153","India","2024","3","28","12","2","1","4","2","2","3","Minimal Depression"
"दूसरों से कभी तुलना मत करो।","Positive","2024/01/27 17:49:20","nature_fan_2024","2","#positivity","51","524","India","2024","1","27","17","5","5","4","1","3","2","Minimal Depression"
"अपने आपको समय दो।","Positive","2024/06/19 18:10:44","cat_lover_2022","2","#mindset","43","376","India","2024","6","19","18","3","5","2","3","2","1","Minimal Depression"
"अपने सपनों को जियो।","Neutral","2022/08/08 06:01:37","zen_meditator_15","2","#dreams","78","182","India","2022","8","8","6","4","4","3","2","4","2","Minimal Depression"
"जीवन में सफलता पाने के लिए साहस चाहिए।","Positive","2022/05/08 23:46:45","wanderlust_girl","2","#happiness","26","45","India","2022","5","8","23","4","2","3","1","1","1","No Depression"
"जीवन को बेहतर बनाने के लिए बदलाव ज़रूरी है।","Positive","2024/02/05 10:39:17","dreamer_boy","2","#goals","25","666","India","2024","2","5","10","2","5","2","5","1","2","Minimal Depression"
"हर समस्या का हल ढूंढो।","Neutral","2023/12/03 12:16:18","photography_lover","2","#positivity","67","713","India","2023","12","3","12","5","1","5","4","1","4","Minimal Depression"
"हर दिन नई शुरुआत करो।","Negative","2023/09/23 15:33:20","poetry_soul_22","2","#mindset","20","754","India","2023","9","23","15","2","1","2","4","5","1","Minimal Depression"
"हर दिन एक नई उम्मीद लाता है।","Neutral","2023/08/07 17:05:56","travel_junkie_91","2","#positivity","74","988","India","2023","8","7","17","4","5","2","4","1","5","Minimal Depression"
"ज़िंदगी में खुश रहना ही असली जीत है।","Negative","2024/04/28 23:54:59","cool_dude_92","2","#dreams","1","917","India","2024","4","28","23","1","5","2","1","1","5","Minimal Depression"
"अपने लक्ष्य पर ध्यान दो, बाकी सब बेकार है।","Neutral","2024/12/10 16:11:25","minimalist_journey","2","#mindset","38","736","India","2024","12","10","16","2","5","5","5","3","3","Severel Depression"
"हर दिन एक नई शुरुआत है।","Neutral","2024/08/23 02:46:17","fashionista_queen","2","#inspiration","26","360","India","2024","8","23","2","5","4","5","5","2","1","Severel Depression"
"ज़िंदगी एक संघर्ष है।","Negative","2023/01/01 00:00:00","shivani_12","2","#life","868","1583","India","2021","4","6","3","3","4","2","2","1","1","Minimal Depression"
"खुशियों का रास्ता अपने अंदर है।","Negative","2023/01/01 01:00:00","happySoul","2","#happiness","766","2058","India","2021","6","20","11","2","3","5","5","2","5","Moderate"
"मुझे थकान महसूस हो रही है।","Neutral","2023/01/01 02:00:00","lonelyHeart","2","#tired","362","3786","India","2022","2","6","18","4","1","3","5","2","3","Minimal Depression"
"नींद की कमी से परेशान हूं।","Negative","2023/01/01 03:00:00","nightOwl","2","#sleepless","143","2387","India","2023","5","26","20","5","3","1","4","5","3","Moderate"
"अकेलापन बहुत बड़ा दुःख है।","Neutral","2023/01/01 04:00:00","solitudeSeeker","2","#loneliness","704","1476","India","2023","4","15","21","3","2","2","3","5","2","Minimal Depression"
"आज का दिन बहुत अच्छा है।","Neutral","2023/01/01 05:00:00","sunshine123","2","#goodDay","265","860","India","2022","7","2","13","5","4","2","2","1","2","Minimal Depression"
"मुझे कोई उम्मीद नहीं दिख रही।","Negative","2023/01/01 06:00:00","hopeLost","2","#noHope","756","3035","India","2020","2","3","8","1","4","2","5","5","4","Moderate"
"जागने का मन नहीं करता।","Neutral","2023/01/01 07:00:00","silentScreams","2","#noSleep","772","4868","India","2023","1","13","1","3","2","2","1","1","2","No Depression"
"सुबह की सैर बहुत ताज़गी देती है।","Negative","2023/01/01 08:00:00","natureLover","2","#morningWalk","221","3664","India","2021","1","15","18","1","1","3","4","1","4","Minimal Depression"
"मुझे आज कुछ भी करने का मन नहीं।","Positive","2023/01/01 09:00:00","noMotivation","2","#demotivated","220","2739","India","2020","12","6","10","5","4","2","4","5","4","Moderate"
"कभी-कभी लगता है सब बेकार है।","Positive","2023/01/01 10:00:00","darkDays","2","#wasteOfTime","985","835","India","2020","10","17","19","2","4","5","2","3","3","Moderate"
"प्रकृति का सौंदर्य अमूल्य है।","Positive","2023/01/01 11:00:00","skyWatcher","2","#nature","849","2029","India","2022","5","12","23","4","1","2","3","4","2","Minimal Depression"
"आजकल कुछ भी अच्छा नहीं लगता।","Positive","2023/01/01 12:00:00","unhappyLife","2","#badDays","975","669","India","2023","3","14","21","1","4","1","3","4","4","Minimal Depression"
"दोस्तों के साथ समय बिताना अच्छा लगता है।","Neutral","2023/01/01 13:00:00","friendsForever","2","#friends","123","2898","India","2022","2","21","14","2","2","3","2","5","4","Minimal Depression"
"जीवन एक पहेली है।","Positive","2023/01/01 14:00:00","mysteryMan","2","#lifePuzzle","122","4267","India","2024","10","7","5","3","3","2","2","5","4","Moderate"
"मेहनत का फल मीठा होता है।","Neutral","2023/01/01 15:00:00","hardWorker","2","#hardWork","320","1494","India","2024","5","9","4","1","2","3","3","4","4","Minimal Depression"
"मुझे लगता है सब खत्म हो गया।","Negative","2023/01/01 16:00:00","endOfRoad","2","#noHopeLeft","186","2355","India","2023","3","13","23","5","4","1","4","5","2","Moderate"
"परिवार के साथ समय बिताना अच्छा है।","Neutral","2023/01/01 17:00:00","familyFirst","2","#family","892","3318","India","2023","2","11","17","5","2","4","2","4","3","Moderate"
"खुद से लड़ाई सबसे कठिन होती है।","Positive","2023/01/01 18:00:00","innerBattle","2","#innerFight","253","2541","India","2021","2","6","1","5","1","5","5","4","4","Moderate"
"हर दिन एक नया अवसर है।","Neutral","2023/01/01 19:00:00","opportunityKnocks","2","#newOpportunity","262","3080","India","2022","4","7","9","4","5","1","3","2","3","Minimal Depression"
"आज कुछ नया करना है।","Neutral","2023/01/01 20:00:00","dreamChaser","2","#newBeginnings","246","106","India","2022","4","24","13","1","4","4","5","5","3","Moderate"
"सपने सच होते हैं।","Neutral","2023/01/01 21:00:00","realist123","2","#dreamsComeTrue","693","3685","India","2021","10","12","5","3","1","4","5","2","3","Minimal Depression"
"कल से बेहतर आज।","Neutral","2023/01/01 22:00:00","brightFuture","2","#betterThanYesterday","978","2381","India","2024","10","18","20","2","2","3","2","3","5","Minimal Depression"
"मंज़िल दूर नहीं।","Negative","2023/01/01 23:00:00","goalSetter","2","#goalAchieved","808","4210","India","2021","12","6","11","2","2","2","1","5","5","Minimal Depression"
"अंधेरा छटने वाला है।","Positive","2023/01/02 00:00:00","darkKnight","2","#lightInDarkness","507","2061","India","2021","4","4","10","2","3","1","3","3","3","Minimal Depression"
"हर मुश्किल आसान होगी।","Positive","2023/01/02 01:00:00","braveHeart","2","#strugglesWillEnd","313","4531","India","2021","2","27","21","5","2","3","5","2","4","Moderate"
"अकेलेपन से घबराता हूं।","Negative","2023/01/02 02:00:00","lonelyWalker","2","#afraidOfLoneliness","564","1077","India","2021","5","21","16","4","5","2","2","1","3","Minimal Depression"
"कल रात सो नहीं पाया।","Negative","2023/01/02 03:00:00","midnightThoughts","2","#noSleepLastNight","309","4108","India","2020","9","3","16","5","4","5","3","1","4","Moderate"
"नींद का कोई ठिकाना नहीं।","Negative","2023/01/02 04:00:00","sleeplessSoul","2","#insomnia","746","2326","India","2020","8","12","22","4","2","2","5","1","2","Minimal Depression"
"हिम्मत हार गया।","Neutral","2023/01/02 05:00:00","tiredMind","2","#lostCourage","460","1978","India","2020","9","5","2","5","5","2","5","1","2","Moderate"
"दुनिया से ऊब गया।","Positive","2023/01/02 06:00:00","brokenSpirit","2","#fedUp","857","3478","India","2020","7","17","11","1","2","4","2","2","1","No Depression"
"कोई रास्ता नहीं दिखता।","Negative","2023/01/02 07:00:00","noWayOut","2","#noWayOut","515","293","India","2023","12","5","8","4","5","3","5","4","4","Severel Depression"
"बेवजह गुस्सा आता है।","Neutral","2023/01/02 08:00:00","angerIssues","2","#angerManagement","623","4471","India","2022","3","11","23","3","2","4","5","3","3","Moderate"
"सपनों की दुनिया।","Negative","2023/01/02 09:00:00","dreamer23","2","#dreamWorld","648","3037","India","2021","9","28","0","1","2","4","3","5","3","Minimal Depression"
"जीवन एक चुनौती है।","Negative","2023/01/02 10:00:00","lifeWarrior","2","#lifeIsHard","487","338","India","2023","4","18","11","5","1","4","2","4","5","Moderate"
"साहस की जरूरत है।","Neutral","2023/01/02 11:00:00","courageousSoul","2","#needCourage","156","4471","India","2022","3","23","13","4","1","3","2","2","2","Minimal Depression"
"खुश रहना आसान नहीं।","Positive","2023/01/02 12:00:00","happinessSeeker","2","#happinessIsDifficult","699","1465","India","2020","11","12","18","2","2","3","5","4","3","Moderate"
"सोच में डूबा हूं।","Negative","2023/01/02 13:00:00","lostInThoughts","2","#deepThoughts","467","4673","India","2023","11","8","4","3","5","4","5","2","3","Moderate"
"मुझे कुछ समझ नहीं आ रहा।","Negative","2023/01/02 14:00:00","confusedMind","2","#confusion","263","1053","India","2021","12","17","20","1","3","5","1","1","2","Minimal Depression"
"वक्त रुकता नहीं।","Negative","2023/01/02 15:00:00","timeTraveler","2","#timeFlies","809","4806","India","2022","11","13","15","3","4","2","5","3","4","Moderate"
"मुस्कान की कमी है।","Positive","2023/01/02 16:00:00","smileLess","2","#lackOfSmile","77","3112","India","2021","9","4","13","5","4","5","2","1","1","Minimal Depression"
"हंसना भूल गया।","Neutral","2023/01/02 17:00:00","forgottenLaughter","2","#forgotHowToLaugh","788","2634","India","2022","10","12","12","5","5","2","2","1","4","Moderate"
"सपनों की तलाश।","Negative","2023/01/02 18:00:00","dreamSeeker","2","#searchingDreams","45","3361","India","2021","9","19","4","3","4","3","3","1","5","Moderate"
"कोई साथ नहीं देता।","Neutral","2023/01/02 19:00:00","noSupport","2","#noSupport","361","734","India","2021","8","11","4","4","1","4","2","2","5","Minimal Depression"
"हर कोई छोड़ देता है।","Neutral","2023/01/02 20:00:00","leftAlone","2","#everyoneLeaves","743","3842","India","2021","1","1","1","4","1","4","4","5","3","Moderate"
"खुशी और ग़म।","Positive","2023/01/02 21:00:00","happySad","2","#joyAndSorrow","520","1292","India","2024","7","12","13","5","1","3","5","2","3","Moderate"
"सपने और हकीकत।","Neutral","2023/01/02 22:00:00","dreamVsReality","2","#dreamsAndReality","245","4791","India","2023","7","3","17","1","3","1","1","3","1","No Depression"
"अकेले ही जीना है।","Negative","2023/01/02 23:00:00","livingAlone","2","#livingAlone","290","4541","India","2022","7","18","16","5","5","4","2","4","4","Moderate"
"आज का दिन अच्छा है।","Positive","2023/01/03 00:00:00","goodDay123","2","#goodDay","887","1984","India","2022","7","6","6","5","4","3","2","5","3","Moderate"
"कल की फिक्र।","Positive","2023/01/03 01:00:00","worryTomorrow","2","#worryTomorrow","438","507","India","2024","2","9","20","5","4","1","4","1","5","Moderate"
"खो कर पता चलती है कीमत किसी की पास अगर हो तो अहसास कहाँ होता है..","Neutral","5/20/2023 14:30","GULZAR POETRY","2","#gulzar poetry #gulzar #shayari love","10","150","India","2023","5","20","14","1","1","1","1","1","1","No Depression"
"प्रेम सिर्फ साथ में सुख भोगने के लिए नहीं होता प्रेम में एक दूसरे का दुःख भी बाँटा जाता है","Positive","6/15/2022 16:45","kalam_ae_ishk","2","#kalam #hindiquoutes","25","400","India","2022","6","15","16","1","1","1","1","1","2","Minimal Depression"
"ये जंग अभी तक जारी है","Neutral","7/1/2021 9:00","aryawrites26","2","#shayar #shayari #taryawrites","15","300","India","2021","7","1","9","1","1","1","1","1","1","No Depression"
"आजा दिल की करे सौदेबाज़ी !!","Neutral","7/25/2020 11:10","simranmatoliya","2","#hindiquotes #hindishayari","20","350","India","2020","7","25","11","1","1","1","1","1","1","No Depression"
"मौसम कितने हो आफत के यहाँ दरिया बहते है राहत के ।","Neutral","8/10/2024 13:50","ashish_punj","2","#hindicaptionst #hindipoetry","30","500","India","2024","8","10","13","1","1","1","1","1","1","No Depression"
"ये शाम मस्तानी, मदहोश किये जाये","Positive","9/1/2023 15:00","musk.ann_17","2","#murat #picsart #inshot","22","420","India","2023","9","1","15","1","1","1","1","1","1","Minimal Depression"
"सर्दी की वो धूप की जैसी.. गर्मी की शाम है..","Neutral","9/15/2023 8:20","manpreetokaur","2","#hindicaptions #sunlight #quotes","18","380","India","2023","9","15","8","1","1","1","1","1","1","No Depression"
"उड़े दिल बेफिक्रे","Positive","9/20/2023 17:45","ammullu_peddinti","2","#instafeed #instadailypost #beachlife","25","500","India","2023","9","20","17","1","1","1","1","1","1","Minimal Depression"
"शामें मलंग सी।","Neutral","10/1/2023 12:00","sir_rajarajput","2","#kashidbeach #kashid #kashiddiaries","20","400","India","2023","10","1","12","1","1","1","1","1","1","No Depression"
"मैं एक पहली हूँ, कभी उलझी तो कभी सुलझी।।।","Neutral","10/5/2023 9:00","yuktiarorals","2","#Snapchattime #snapchatnewfilter","15","320","India","2023","10","5","9","1","1","1","1","1","1","No Depression"
"ज्यादा ख्वाहिशें नहीं है मेरी, बस अगला लम्हा पिछले से बेहतर हो ।","Positive","10/10/2023 11:15","piyu.__","2","#akasarsaidam #kasarsai","28","550","India","2023","10","10","11","1","1","1","1","1","2","Minimal Depression"
"सफ़र खूबसूरत है मंज़िल से भी","Positive","10/15/2023 15:30","musk.ann","2","#murat #dancer #picsart #inshot #portraits","32","600","India","2023","10","15","15","1","1","1","1","1","2","Minimal Depression"
"कुछ यु मिली नज़रे उनसे कि, बाकी सब नज़रअंदाज़ हो गए।","Negative","10/20/2023 17:00","shivanistories","2","#pahadan #sundarta #smundar","12","250","India","2023","10","20","17","2","2","4","4","4","4","Severel Depression"
"सब दुःखों की एक दवाई । अपने ""मैं"" को जानो भाई ।।","Positive","11/1/2023 9:45","ashish_punj","2","#hindicaptions #hindiwriterslandscapes","20","400","India","2023","11","1","9","1","1","1","1","1","1","Minimal Depression"
"हर जगह की, अपनी कहानी, अपना एक क़िस्सा होता है.!!","Neutral","11/5/2023 11:00","pooja_jungthapa","2","#hindicaption #hindi_poetry #hindiquotes","18","350","India","2023","11","5","11","1","1","1","1","1","1","No Depression"
"रंगों सा ये जहा को गए हम कहा","Neutral","11/10/2023 14:20","gallarelizabeth","2","#justpost #hindicaptions #dil #shant","22","400","India","2023","11","10","14","1","1","1","1","1","1","No Depression"
"सांसों को ना दो ज़िन्दगी का नाम, ज़िंदा होते हुए भी मर जाते हैं कुछ लोग।","Negative","11/15/2023 16:35","priti_prettyy","2","#hindicaptions","15","300","India","2023","11","15","16","2","2","4","4","4","4","Severel Depression"
"देखूं में तुझे या देखूं कुदरत के नज़ारे, मुश्किलों में है ये दिल मेरा!!","Negative","11/20/2023 18:00","simranmateliya","2","#instapost #instablackandwhite","12","250","India","2023","11","20","18","2","4","4","4","2","2","Severel Depression"
"ठीक कहते हो नज़ाकत में नशा होता है, मगर सादगी का भी अपना मजा होता है।","Neutral","12/1/2023 13:00","extremely_limitless","2","#bareilly #hindicaptions #influencer","18","320","India","2023","12","1","13","1","1","1","1","1","1","No Depression"
