caption,mental_state,language
Elation over discovering a rare book in a quaint bookstore.      ,Happy,English
Ich liebe die Natur und ihre Schönheit.,Normal,English
Arousal of excitement for an upcoModerate Depressionld Depressionng festival.       ,Happy,English
"Exploring the vibrant street art of a cultural neighborhood, each mural tells a story, infusing the city with creativity and expression. ",Moderately Depressed,English
"As the credits roll, a profound sense of Nostalgia washes over, reModerate Depressionld Depressionniscent of cherished moments in classic films. ",Stressed,English
Spent hours perfecting a cheModerate Depressionld Depressionstry experiment. Moderate Depressionld Depressionxing potions like a wizard! ,Happy,English
मुझे कुछ समझ नहीं आ रहा।,Severely Depressed,Hindi
The fear of the unkNown is keeping me up at night.    ,Happy,English
Amar a vida é um presente maravilhoso.,Severely Depressed,English
Amar a vida é um presente maravilhoso.,Stressed,English
"Boredom settles like dust, life feels mundane.     ",Moderately Depressed,English
Captivated by the ethereal beauty of a field filled with fireflies. ,Moderately Depressed,English
Sending affectionate vibes to friends and faModerate Depressionld Depressionly.        ,Normal,English
"सपने पंख नहीं, हौसले मांगते हैं।",Moderately Depressed,Hindi
Accidentally liked my crush's old photo while stalking their profile. Awkward level: Maximum! ,Happy,English
Whimsical delight in a world of fairy tales and magical creatures.  ,Normal,English
"शब्दों में बयां न हो पाए वो एहसास, जो इस पहनावे में बसता है।",Stressed,Hindi
अपने सपनों को जियो।,Moderately Depressed,Hindi
Bonjour! Aujourd’hui est une belle journée.,Severely Depressed,English
Savoring the warmth of a cup of cocoa on a chilly winter evening.   ,Happy,English
Mastered the art of creating paper airplanes during lecture. Paper planes: Soaring to new heights! ,Normal,English
Hoy me siento lleno de energía y motivación.,Stressed,English
Hoy me siento lleno de energía y motivación.,Happy,English
An amusing incident brightened up my day!               ,Happy,English
Overflowing happiness: welcoModerate Depressionld Depressionng a new faModerate Depressionld Depressionly member!  ,Moderately Depressed,English
"La vida es un viaje, disfruta cada momento.",Stressed,English
जमी हुई भावनाएं भी टूटती हैं। ❄️ #भावनाएं,Normal,Hindi
वक्त का पता नहीं चलता। ⏳ #यादें,Stressed,Hindi
Sunday bike ride through scenic trails.           ,Normal,English
असफलता और आशा,Moderately Depressed,Hindi
Amar a vida é um presente maravilhoso.,Severely Depressed,English
Sending affectionate vibes to friends and faModerate Depressionld Depressionly.        ,Moderately Depressed,English
Resentment building up over past betrayals.        ,Stressed,English
"Jealousy gnaws at my confidence, a toxic emotion.  ",Moderately Depressed,English
"The bitterness of betrayal, a taste that lingers, staining the palate of trust. ",Stressed,English
Sending affectionate vibes to friends and faModerate Depressionld Depressionly.        ,Happy,English
Amar a vida é um presente maravilhoso.,Moderately Depressed,English
Ich liebe die Natur und ihre Schönheit.,Stressed,English
नींद की कमी से परेशान हूं।,Happy,Hindi
"Overwhelmed by grief, Moderate Depressionld Depressionssing a loved one dearly.  ",Moderately Depressed,English
Hoy me siento lleno de energía y motivación.,Stressed,English
Bonjour! Aujourd’hui est une belle journée.,Normal,English
"Exploring a new hiking trail with friends over the weekend. Nature, laughter, and good vibes! ",Happy,English
"बदलती ज़िन्दगी के रंग, हर लम्हा जैसे एक नया कैनवास।",Moderately Depressed,Hindi
Bonjour! Aujourd’hui est une belle journée.,Normal,English
"Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions. ",Happy,English
"सपनों का पीछा करने में जो मज़ा है, वो मंज़िल पर ठहरने में कहाँ!",Stressed,Hindi
Ich liebe die Natur und ihre Schönheit.,Stressed,English
Bonjour! Aujourd’hui est une belle journée.,Happy,English
Enthusiastically diving into a new project.            ,Happy,English
"Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil. ",Normal,English
एक मुस्कान में छुपी हैं सैकड़ों कहानियाँ।,Moderately Depressed,Hindi
"Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness. ",Moderately Depressed,English
Disgust at the corruption that stains society.     ,Stressed,English
"In the void of heartache, echoes of a love song play, each Note a pang of longing. ",Severely Depressed,English
Hoy me siento lleno de energía y motivación.,Moderately Depressed,English
An amusing incident brightened up my day!               ,Moderately Depressed,English
Bonjour! Aujourd’hui est une belle journée.,Normal,English
Volunteering at a local charity event to give back to the community. Contributing to social causes. ,Stressed,English
"Curiosity leading me down the rabbit hole of kNowledge, a perpetual student in life's classroom. ",Happy,English
"C’est la saison des fleurs, profitons-en!",Happy,English
रिफ्लेक्शन में वो दिखता है जो दुनिया से छुपा रखा है।,Moderately Depressed,Hindi
"La vida es un viaje, disfruta cada momento.",Happy,English
Having a string of bad luck with constant techNology malfunctions. Tech troubles galore! ,Stressed,English
Elation over discovering a rare book in a quaint bookstore.      ,Stressed,English
Bonjour! Aujourd’hui est une belle journée.,Happy,English
ଆମର ମାନସିକ ସ୍ଥିତି ଭଲ ରହିବା ଆଶା କରୁଛୁ।,Normal,Hindi
Attending a live music concert tonight.            ,Stressed,English
"Flipping through the pages of an old yearbook, Nostalgia painting sModerate Depressionld Depressionles and tears on my face. ",Moderately Depressed,English
"Curiosity leading me down the rabbit hole of kNowledge, a perpetual student in life's classroom. ",Happy,English
Compassion shown through acts of kindness in the community.,Normal,English
जीवन एक चुनौती है।,Moderately Depressed,Hindi
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",Happy,English
अपने आपको समय दो।,Happy,Hindi
हर सुबह एक नया अवसर है।,Stressed,Hindi
आज कुछ नया करना है।,Happy,Hindi
Creating a beautiful mural with fellow art enthusiasts. The power of collaboration and creativity! ,Happy,English
Spontaneously booked a weekend getaway. Adventure awaits! #TravelBug #WeekendEscape ,Happy,English
"Sinking like autumn leaves in the river of sorrow, carried away by the current. ",Moderately Depressed,English
"कहानी अधूरी सही, पर खूबसूरत है।",Happy,Hindi
अपने हिस्से का आसमान खुद ही चुन लो।,Stressed,Hindi
Bonjour! Aujourd’hui est une belle journée.,Happy,English
Ich liebe die Natur und ihre Schönheit.,Happy,English
खुश रहने का एक ही तरीका है - खुद से प्यार करो। 😊 #खुद,Happy,Hindi
"Devastated by the revelation of betrayal, the trust shattered like fragile glass, leaving shards of pain in its wake. ",Stressed,English
Quiet evening with a good book.                    ,Normal,English
Ich liebe die Natur und ihre Schönheit.,Normal,English
"दिल है समंदर, गहराई मापना मुश्किल है।",Stressed,Hindi
"कुछ यु मिली नज़रे उनसे कि, बाकी सब नज़रअंदाज़ हो गए।",Happy,Hindi
"खुश रहना सीखो, जिंदगी का हर पल अमूल्य है।",Stressed,Hindi
"उसकी एक हंसी जैसे दिल के हर दर्द पर मरहम, जैसे सूरज की पहली किरण ठंड में गर्माहट घोलती है।",Normal,Hindi
Feeling empowered after conquering a challenging hiking trail.     ,Moderately Depressed,English
"C’est la saison des fleurs, profitons-en!",Severely Depressed,English
Surprise and delight at discovering a hidden gem in the city.    ,Normal,English
"La vida es un viaje, disfruta cada momento.",Normal,English
हमदर्दियाँ चुभतीं हैं अब यूँ ख़ामख़ा मिज़ाज ना पूछा करो,Happy,Hindi
"हर जगह की, अपनी कहानी, अपना एक क़िस्सा होता है.!!",Stressed,Hindi
Bonjour! Aujourd’hui est une belle journée.,Happy,English
तुम्हारी हँसी में मेरी सुकून की कहानी छुपी है।,Happy,Hindi
कल रात सो नहीं पाया।,Happy,Hindi
"Wrestling with thoughts, a perplexed Moderate Depressionld Depressionnd lost in the labyrinth of life's complexities. ",Stressed,English
"C’est la saison des fleurs, profitons-en!",Moderately Depressed,English
Feeling empowered after conquering a challenging hiking trail.     ,Stressed,English
"Like a withered rose in the garden of love, petals fall, a silent surrender to time. ",Moderately Depressed,English
ज़िंदगी कभी आसान नहीं होती। 😕 #संघर्ष,Normal,Hindi
Compassion shown through acts of kindness in the community.,Happy,English
Confusion reigns as I try to make sense of recent events.,Stressed,English
Bonjour! Aujourd’hui est une belle journée.,Stressed,English
"Melancholy painting the world in hues of Nostalgia, a canvas of bittersweet memories. ",Moderately Depressed,English
"दिल में एक उम्मीद की रोशनी है, जो अंधेरों में भी चाँदनी जैसी लगती है।",Happy,Hindi
"Betrayal, a veNomous serpent slithering through the garden of trust, poisoning roots. ",Stressed,English
"Jealousy gnaws at my confidence, a toxic emotion.  ",Happy,English
Hoy me siento lleno de energía y motivación.,Happy,English
Mesmerized by the cosModerate Depressionld Depressionc dance of fireflies on a moonlit night.    ,Happy,English
दूसरों से कभी तुलना मत करो।,Moderately Depressed,Hindi
Bonjour! Aujourd’hui est une belle journée.,Normal,English
मुझे कोई उम्मीद नहीं दिख रही।,Moderately Depressed,Hindi
"इस तस्वीर में जितनी सादगी है, शायद उतनी ही हिम्मत भी।",Severely Depressed,Hindi
Savoring the warmth of a cup of cocoa on a chilly winter evening.   ,Happy,English
Bonjour! Aujourd’hui est une belle journée.,Happy,English
अपने सपनों को जियो।,Stressed,Hindi
Confidence soars after overcoModerate Depressionld Depressionng public speaking anxiety.       ,Happy,English
ये छोटे-छोटे पलों में भी बड़ी सी ख़ुशी मिल जाती है।,Normal,Hindi
କେତେକ ସମୟରେ ଆମେ ଶ୍ରେଷ୍ଠତା ଅପେକ୍ଷା କରୁଛୁ।,Severely Depressed,Hindi
"Apprehensive whispers in the wind, a forecast of uncertainty, the Moderate Depressionld Depressionnd's weather vane spinning wildly in the storm of doubt. ",Severely Depressed,English
କେତେକ ସମୟରେ ଆମେ ଅସୁବିଧାର ସମ୍ମୁଖୀନ ହୁଁ।,Stressed,Hindi
कोई रास्ता नहीं दिखता।,Happy,Hindi
"Rocking out to the guitar solos at a Queen tribute concert, a journey back in time with Freddie's spirit. ",Normal,English
Hoy me siento lleno de energía y motivación.,Happy,English
Confusion clouds my Moderate Depressionld Depressionnd as I navigate through decisions.,Stressed,English
"देखूं में तुझे या देखूं कुदरत के नज़ारे, मुश्किलों में है ये दिल मेरा!!",Stressed,Hindi
Amar a vida é um presente maravilhoso.,Stressed,English
Having a bad hair day and feeling self-conscious. Bad hair days can affect confidence. ,Stressed,English
"Jealousy gnaws at my confidence, a toxic emotion.  ",Happy,English
"Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered kNowledge. ",Happy,English
"Drowning in despair, hope slipping through my fingers.",Severely Depressed,English
"Accidentally spilled paint in art class. Abstract art, right? #ArtClassAdventures #HighSchoolArtist ",Moderately Depressed,English
Amar a vida é um presente maravilhoso.,Stressed,English
Ich liebe die Natur und ihre Schönheit.,Happy,English
Amused by the antics of my pet??t's pure amusement!      ,Moderately Depressed,English
"Lost in the vast sea of information, an indifferent wave in the digital ocean. ",Moderately Depressed,English
"Drowning in despair, hope slipping through my fingers.",Moderately Depressed,English
The fear of the unkNown is keeping me up at night.    ,Stressed,English
Amar a vida é um presente maravilhoso.,Normal,English
"Boredom settles like dust, life feels mundane.     ",Stressed,English
"Betrayal, a veNomous serpent slithering through the garden of trust, poisoning roots. ",Severely Depressed,English
"At a Justin Bieber concert, the infectious beats of 'Baby' create a dance floor of unbridled enthusiasm. ",Happy,English
Bonjour! Aujourd’hui est une belle journée.,Happy,English
"C’est la saison des fleurs, profitons-en!",Happy,English
Exploring the universe within during a Moderate Depressionld Depressionndful meditation session. ,Happy,English
अपने आपको समय दो।,Happy,Hindi
Spent hours perfecting a cheModerate Depressionld Depressionstry experiment. Moderate Depressionld Depressionxing potions like a wizard! ,Happy,English
Ich liebe die Natur und ihre Schönheit.,Stressed,English
Inspiration strikes while observing the colors of a vibrant sunset.,Moderately Depressed,English
"Embracing the ebb and flow of life, finding acceptance in the dance of existence. ",Stressed,English
Joyful reunion with long-lost friends after years of separation.   ,Stressed,English
"Betrayal, a veNomous serpent slithering through the garden of trust, poisoning roots. ",Normal,English
"La vida es un viaje, disfruta cada momento.",Happy,English
Arousal of excitement for an upcoModerate Depressionld Depressionng adventure.       ,Happy,English
Hoy me siento lleno de energía y motivación.,Stressed,English
"Boredom settles like dust, life feels mundane.     ",Happy,English
"हर बार एक नया चेहरा, हर बार एक नई कहानी।",Normal,Hindi
"A fiery deterModerate Depressionld Depressionnation burning within, fueled by the vision of reaching unparalleled heights. ",Happy,English
"Wrestling with thoughts, a perplexed Moderate Depressionld Depressionnd lost in the labyrinth of life's complexities. ",Normal,English
Hoy me siento lleno de energía y motivación.,Happy,English
"Despite meticulous training, the swimmer faces disappointment as a split-second Moderate Depressionld Depressionscalculation costs them the lead in a crucial race. ",Stressed,English
Amar a vida é um presente maravilhoso.,Severely Depressed,English
तुम्हारी हँसी में मेरी सुकून की कहानी छुपी है।,Stressed,Hindi
"La vida es un viaje, disfruta cada momento.",Happy,English
The euphoria of a surprise birthday celebration.     ,Happy,English
"In the embrace of the Grand Canyon, nature's masterpiece, a moment to marvel at Earth's grandeur. ",Severely Depressed,English
हर दिन एक नई चुनौती है।,Severely Depressed,Hindi
"खुद को तराशते-तराशते, कुछ अनमोल बन जाऊँगा।",Normal,Hindi
Savoring the warmth of a cup of cocoa on a chilly winter evening.   ,Happy,English
"वो ख़्वाब है जो आँखों में सजे रहते हैं, पर कभी टूटते नहीं, बस गहराते चले जाते हैं।",Happy,Hindi
ସେମାନଙ୍କୁ ସହଯୋଗ ଓ ନିୟମିତ ଶିକ୍ଷା ପ୍ରଦାନ କରିବା ଆବଶ୍ୟକ।,Happy,Hindi
"Embracing the ebb and flow of life, finding acceptance in the dance of existence. ",Normal,English
A surprise gift from a friend made my day!              ,Happy,English
Trying out a new study technique for upcoModerate Depressionld Depressionng exams. Exploring different learning strategies. ,Happy,English
"La vida es un viaje, disfruta cada momento.",Happy,English
Attending a live music concert tonight.            ,Stressed,English
"प्रेम की इस राह पर हर कदम जैसे उसके एहसास से सजी ज़मीं का हिस्सा है, जिसकी छांव में हर दर्द खो जाता है।",Severely Depressed,Hindi
Whimsical delight in a world of whimsical fairy tales.             ,Moderately Depressed,English
"At a Justin Bieber concert, the infectious beats of 'Baby' create a dance floor of unbridled enthusiasm. ",Happy,English
"In the void of heartache, echoes of a love song play, each Note a pang of longing. ",Stressed,English
"C’est la saison des fleurs, profitons-en!",Happy,English
"दिल में रखी है थोड़ी सी शरारत, थोड़ी सी मासूमियत।",Stressed,Hindi
"Bought a new video game, played for hours, forgot to eat. The ultimate gaModerate Depressionld Depressionng session. #GamerLife #NoFoodGaModerate Depressionld Depressionng ",Moderately Depressed,English
"मेरी दुनिया बस इतनी-सी है, और ये मुझे बहुत प्यारी है।",Moderately Depressed,Hindi
हर सुबह एक नया अवसर है।,Happy,Hindi
हर दिन एक नई शुरुआत है।,Moderately Depressed,Hindi
Curiosity awakened by the mysteries of an ancient archaeological site. ,Normal,English
Just adopted a cute furry friend! ???              ,Normal,English
Quiet evening with a good book.                    ,Happy,English
Trying out a new recipe for dinner tonight.        ,Happy,English
"Curiosity leading me down the rabbit hole of kNowledge, a perpetual student in life's classroom. ",Normal,English
Hoy me siento lleno de energía y motivación.,Normal,English
Just adopted a cute furry friend! ???              ,Moderately Depressed,English
सकारात्मक सोच से जीवन में बदलाव आएगा।,Stressed,Hindi
दोस्तों के साथ समय बिताना अच्छा लगता है।,Stressed,Hindi
"Devastated, a heart in ruins, the echoes of shattered dreams reverberating in the chambers, a requiem for what once was whole. ",Stressed,English
"Overwhelmed by the weight of the world, Atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion. ",Stressed,English
Ich liebe die Natur und ihre Schönheit.,Stressed,English
"Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace. ",Normal,English
Ich liebe die Natur und ihre Schönheit.,Happy,English
Ich liebe die Natur und ihre Schönheit.,Happy,English
"Embraced by the hopeful dawn, a gardener sowing seeds of optiModerate Depressionld Depressionsm, tending to the blooms of a brighter tomorrow. ",Moderately Depressed,English
Feeling inspired after attending a workshop.       ,Happy,English
कभी-कभी खामोशी में भी मोहब्बत की चहक होती है।,Stressed,Hindi
"आज खुद को वो तोहफा दिया, जो किसी और ने कभी नहीं दिया।",Normal,Hindi
"Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuModerate Depressionld Depressionnated by the sun of optiModerate Depressionld Depressionsm. ",Stressed,English
परिवर्तन ही सफलता की कुंजी है।,Happy,Hindi
"Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness. ",Stressed,English
ଆମେ ସାଧାରଣ ଜୀବନରେ ଶାନ୍ତି ପାଇବା ପାଇଁ କରୁଛୁ।,Happy,Hindi
Arousal of excitement for an upcoModerate Depressionld Depressionng adventure.       ,Stressed,English
"तन्हाई भी अपना सा लगे, जब अपना साथ हो।",Moderately Depressed,Hindi
"Betrayal, a veNomous serpent slithering through the garden of trust, poisoning roots. ",Stressed,English
"La vida es un viaje, disfruta cada momento.",Happy,English
"इस अक्स में छुपी है वो सारी बातें, जो सिर्फ मैं जानती हूँ।",Normal,Hindi
Ich liebe die Natur und ihre Schönheit.,Happy,English
"अपने ही अक्स में उलझी हूँ, या शायद खुद को ढूंढ रही हूँ।",Severely Depressed,Hindi
हंसना भूल गया।,Stressed,Hindi
Amar a vida é um presente maravilhoso.,Stressed,English
ସମୟ ଓ ଶାନ୍ତି ପ୍ରାପ୍ତ କରିବାର ଆଶା ରହିଛି।,Stressed,Hindi
"Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness. ",Moderately Depressed,English
Ich liebe die Natur und ihre Schönheit.,Moderately Depressed,English
"Overwhelmed by grief, Moderate Depressionld Depressionssing a loved one dearly.  ",Happy,English
Encountered some mean-spirited comments online. Dealing with online hate is never easy. ,Moderately Depressed,English
Amar a vida é um presente maravilhoso.,Stressed,English
Enthusiastically diving into a new project.            ,Stressed,English
जीवन एक पहेली है।,Happy,Hindi
Accidentally liked my crush's old photo while stalking their profile. Awkward level: Maximum! ,Normal,English
Amar a vida é um presente maravilhoso.,Moderately Depressed,English
"Attending a surprise birthday party organized by friends. Surrounded by love, laughter, and good company! ",Stressed,English
आज बादलों की छांव में सुकून मिला। ☁️ #मौसम,Normal,Hindi
वक्त रुकता नहीं।,Happy,Hindi
New book release from my favorite author!          ,Moderately Depressed,English
Feeling empowered after conquering a challenging hiking trail.     ,Stressed,English
मैं अपने जज़्बातों का जादूगर हूँ।,Happy,Hindi
"Despair clouds the Moderate Depressionld Depressionnd, feeling adrift in an endless sea of darkness. ",Stressed,English
"Boredom settles like dust, life feels mundane.     ",Happy,English
आज का दिन बेहद खूबसूरत है! ❤️ #खुशियां #सुकून,Stressed,Hindi
"Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil. ",Happy,English
नींद का कोई ठिकाना नहीं।,Normal,Hindi
"La vida es un viaje, disfruta cada momento.",Happy,English
"C’est la saison des fleurs, profitons-en!",Happy,English
Bonjour! Aujourd’hui est une belle journée.,Happy,English
Confusion clouds my Moderate Depressionld Depressionnd as I navigate through decisions.,Happy,English
Confidence soars after overcoModerate Depressionld Depressionng public speaking anxiety.       ,Stressed,English
Inspiration strikes while observing the colors of a vibrant sunset.,Normal,English
"खुद को तराशते-तराशते, कुछ अनमोल बन जाऊँगा।",Happy,Hindi
Bonjour! Aujourd’hui est une belle journée.,Moderately Depressed,English
Amar a vida é um presente maravilhoso.,Happy,English
हर तस्वीर के पीछे छुपा है एक अनसुना गीत।,Happy,Hindi
"तितली सी हूँ, बस उड़ने का बहाना ढूंढती हूँ।",Normal,Hindi
सूरज की किरण से ज्यादा चमक है मेरी मुस्कान में।,Happy,Hindi
Reverence for the artistry displayed in a museum.      ,Happy,English
Amar a vida é um presente maravilhoso.,Moderately Depressed,English
"Jealousy gnaws at my confidence, a toxic emotion.  ",Happy,English
Savoring the warmth of a cup of cocoa on a chilly winter evening.   ,Happy,English
Gratitude for the supportive community around me.    ,Stressed,English
दिल के दरवाज़े पर दस्तक देने से पहले अपनी सच्चाई लेकर आना।,Stressed,Hindi
"चाँद की तरह खूबसूरत, पर अपनी ही दुनिया में मग्न।",Normal,Hindi
जीवन को बेहतर बनाने के लिए बदलाव ज़रूरी है।,Happy,Hindi
Ich liebe die Natur und ihre Schönheit.,Happy,English
"चाय और बारिश, इससे बेहतर कुछ नहीं। ☕ #प्यारा_पल",Stressed,Hindi
Hoy me siento lleno de energía y motivación.,Moderately Depressed,English
कुछ बातें दिल में ही रह जाती हैं। 🤐 #अधूरे_ख्वाब,Happy,Hindi
"खुश रहना सीखो, जिंदगी का हर पल अमूल्य है।",Happy,Hindi
"DisModerate Depressionld Depressionssive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference. ",Happy,English
"Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos. ",Happy,English
Bonjour! Aujourd’hui est une belle journée.,Severely Depressed,English
"Yearning for a touch that's Not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude. ",Happy,English
Elation after a surprise reunion with old friends.    ,Happy,English
Having a string of bad luck with constant techNology malfunctions. Tech troubles galore! ,Happy,English
Reverence for the artistry displayed in a museum.      ,Normal,English
"नज़रें सब बता देती हैं, हसरतें भी, नफ़रतें भी..",Moderately Depressed,Hindi
Pride in achieving a personal Moderate Depressionld Depressionlestone.               ,Moderately Depressed,English
"Sinking like autumn leaves in the river of sorrow, carried away by the current. ",Happy,English
"Bitterness, a bitter aftertaste lingering on the tongue, each word a reModerate Depressionld Depressionnder of wounds that refuse to heal with the passing of time. ",Happy,English
Having a string of bad luck with constant techNology malfunctions. Tech troubles galore! ,Happy,English
"Jealousy gnaws at my confidence, a toxic emotion.  ",Normal,English
"In the heart of New York City, Times Square dazzles with lights, a vibrant spectacle of urban energy. ",Happy,English
दूसरों से कभी तुलना मत करो।,Stressed,Hindi
Hoy me siento lleno de energía y motivación.,Happy,English
"हर गहरी सांस में उसकी खुशबू का एहसास है, जैसे रूह से भी ज्यादा करीब हो कोई।",Happy,Hindi
"उसके संग बिताए लम्हों का हिसाब नहीं, जैसे वक्त की दरिया में कुछ ख्वाब तैरते रह गए हैं।",Stressed,Hindi
Accidentally liked my crush's old photo while stalking their profile. Awkward level: Maximum! ,Happy,English
Amar a vida é um presente maravilhoso.,Happy,English
Envy eats away at me as I see others' prosperity.  ,Stressed,English
"Bought a new video game, played for hours, forgot to eat. The ultimate gaModerate Depressionld Depressionng session. #GamerLife #NoFoodGaModerate Depressionld Depressionng ",Moderately Depressed,English
ସେହିପରି ଜୀବନ ଦିନ ପରେ ଦିନ ଚାଲୁଛି।,Normal,Hindi
अकेले ही जीना है।,Normal,Hindi
"Emotional storm, a whirlwind of sadness engulfs every thought.    ",Moderately Depressed,English
"Boredom settles like dust, life feels mundane.     ",Stressed,English
Amar a vida é um presente maravilhoso.,Happy,English
Ich liebe die Natur und ihre Schönheit.,Moderately Depressed,English
"मैं एक पहली हूँ, कभी उलझी तो कभी सुलझी।।।",Stressed,Hindi
Bonjour! Aujourd’hui est une belle journée.,Stressed,English
Witnessed a heated argument in the cafeteria. Unpleasant atmosphere at lunch. ,Happy,English
AdModerate Depressionld Depressionration for the intricate details of a handcrafted masterpiece. ,Stressed,English
Whimsical delight in a world of whimsical fairy tales.             ,Normal,English
"Curiosity leading me down the rabbit hole of kNowledge, a perpetual student in life's classroom. ",Severely Depressed,English
"Devastated by the revelation of betrayal, the trust shattered like fragile glass, leaving shards of pain in its wake. ",Moderately Depressed,English
"Indifferent to the Noise of the world, a silent observer in the Moderate Depressionld Depressiondst of life's cacophony. ",Severely Depressed,English
Amar a vida é um presente maravilhoso.,Happy,English
"At the front row of Adele's concert, each Note of 'Someone Like You' resonates with soul-stirring emotion. ",Stressed,English
Experimenting with a new hair color. A bold change for a bold semester! ,Normal,English
"C’est la saison des fleurs, profitons-en!",Severely Depressed,English
Winter blues got me feeling low.                   ,Happy,English
OptiModerate Depressionld Depressionsm for a bright future aModerate Depressionld Depressiondst challenging times.           ,Moderately Depressed,English
"C’est la saison des fleurs, profitons-en!",Moderately Depressed,English
"La vida es un viaje, disfruta cada momento.",Moderately Depressed,English
Hoy me siento lleno de energía y motivación.,Happy,English
"In the heart of New York City, Times Square dazzles with lights, a vibrant spectacle of urban energy. ",Stressed,English
Harmony resonates as musicians play a symphony of unity.           ,Happy,English
"जिसे पाया नहीं, उसकी तस्वीर अब दिल में कैद है।",Moderately Depressed,Hindi
"Helplessness engulfs me, drowning in a sea of problems.",Moderately Depressed,English
Overflowing happiness: welcoModerate Depressionld Depressionng a new faModerate Depressionld Depressionly member!  ,Happy,English
"दुआ करो में कोई रास्ता निकाल सकूँ,, तुम्हे भी देख सकूँ, खुद को भी सम्भाल सकूँ।",Happy,Hindi
बादल भी तरसते हैं धरती के हिस्से का बरसात बनने के लिए।,Happy,Hindi
सपनों का पीछा करो।,Stressed,Hindi
Hoy me siento lleno de energía y motivación.,Severely Depressed,English
Amar a vida é um presente maravilhoso.,Happy,English
"Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness. ",Stressed,English
सर्दी की वो धूप की जैसी.. गर्मी की शाम है..,Happy,Hindi
Ich liebe die Natur und ihre Schönheit.,Moderately Depressed,English
"Avoiding the thorns of regret, walking barefoot on the path of remorse. ",Moderately Depressed,English
Savoring the warmth of a cup of cocoa on a chilly winter evening.   ,Happy,English
"Despair clouds the Moderate Depressionld Depressionnd, feeling adrift in an endless sea of darkness. ",Moderately Depressed,English
Anticipating a thrilling adventure in the coModerate Depressionld Depressionng weeks. ,Happy,English
"Boredom settles like dust, life feels mundane.     ",Happy,English
"As the movie credits roll, the viewer experiences a Moderate Depressionld Depressionx of awe and contemplation, pondering the deeper meanings woven into the storyline. ",Stressed,English
"La vida es un viaje, disfruta cada momento.",Normal,English
"In the heart of New York City, Times Square dazzles with lights, a vibrant spectacle of urban energy. ",Happy,English
Bonjour! Aujourd’hui est une belle journée.,Happy,English
"Despite meticulous training, the swimmer faces disappointment as a split-second Moderate Depressionld Depressionscalculation costs them the lead in a crucial race. ",Normal,English
"Shattered dreams lie on the floor like fragments of glass, a mosaic of disappointment crafted by the hands of frustration. ",Normal,English
ଆମେ ସାଧାରଣ ଜୀବନରେ ଶାନ୍ତି ପାଇବା ପାଇଁ କରୁଛୁ।,Moderately Depressed,Hindi
"मैं एक पहली हूँ, कभी उलझी तो कभी सुलझी।।।",Stressed,Hindi
Having a string of bad luck with constant techNology malfunctions. Tech troubles galore! ,Normal,English
जो मुक़ाम कम लोगों के नसीब होगा उसमें मेरा नाम ज़रूर शामिल होगा,Stressed,Hindi
"La vida es un viaje, disfruta cada momento.",Severely Depressed,English
"La vida es un viaje, disfruta cada momento.",Happy,English
अकेलेपन से घबराता हूं।,Moderately Depressed,Hindi
AdModerate Depressionld Depressionration for the intricate details of a handcrafted masterpiece. ,Happy,English
हर दिन एक नई उम्मीद लाता है।,Happy,Hindi
Spent hours perfecting a cheModerate Depressionld Depressionstry experiment. Moderate Depressionld Depressionxing potions like a wizard! ,Happy,English
"Entered the kitchen with the intention to cook. Left with a bag of chips. Cooking is overrated, anyway. #MasterChefInTraining #TeenHumor ",Happy,English
"Tears, the ink staining the pages of a journal, a testament to silent grief. ",Moderately Depressed,English
Feeling empowered after conquering a challenging hiking trail.     ,Normal,English
Decided to study for exams but ended up making memes about studying instead. Procrastination level: Expert. #ProcrastinationNation #TeenConfessions ,Severely Depressed,English
जी भरकर जीने का दिल करता है,Stressed,Hindi
Awe-inspired by the vastness of the cosmos on a stargazing night.   ,Moderately Depressed,English
Planning a surprise scavenger hunt for friends. Anticipating the thrill and excitement! ,Normal,English
The victory of our team brought euphoria to the city. ,Normal,English
ज़िंदगी में सुकून कहीं खो गया है। 😕 #सुकून,Happy,Hindi
"At a Justin Bieber concert, the infectious beats of 'Baby' create a dance floor of unbridled enthusiasm. ",Moderately Depressed,English
"वो ख़्वाब है जो आँखों में सजे रहते हैं, पर कभी टूटते नहीं, बस गहराते चले जाते हैं।",Happy,Hindi
Spontaneously booked a weekend getaway. Adventure awaits! #TravelBug #WeekendEscape ,Happy,English
